episode,policy,outcome,steps,time_s,ret,start_x,start_y,goal_x,goal_y,start_dist,final_dist,path_length,path_efficiency
0,pctrl,success,213,25.56,29.94,1.764388417569239,-1.7586739840602121,0.8006109862698683,2.5421683262052834,4.408,0.29,8.027,0.512
1,pctrl,timeout,300,36.0,-13.621,2.055861877649704,1.9012443440130964,2.390742050536076,-3.166302050780322,5.079,4.803,2.68,0.0
2,pctrl,success,147,17.64,28.646,3.1712018139801135,1.8730362829680196,0.029108857330901294,0.3423830532767518,3.495,0.296,7.291,0.438
3,pctrl,timeout,300,36.0,-10.203,-2.174642983309795,0.7202534673473968,3.129344945164063,-1.822024331292167,5.882,4.922,4.133,0.0
4,pctrl,collision,34,4.08,-16.776,-0.2162814379181497,2.669873748434255,-2.9716462158489847,0.09528844973676964,3.771,2.786,1.165,0.0
5,pctrl,collision,32,3.84,-13.237,-1.6159044990250828,-3.1245182365279627,0.09035293823688884,-0.02001001348157283,3.542,1.87,1.906,0.0
6,pctrl,timeout,300,36.0,-1.79,2.1123054707311715,-2.2114490812067853,-0.8349676121458773,-3.176100850866714,3.101,0.459,7.89,0.0
7,pctrl,timeout,300,36.0,-11.827,1.5473340631158852,-2.614428127596508,2.4341257854773035,0.06266118315790825,2.82,2.186,4.116,0.0
8,pctrl,success,59,7.08,25.492,-0.8879100223093914,0.6283780301261634,0.0497423123222398,2.376572010834436,1.984,0.295,3.136,0.537
9,pctrl,success,33,3.96,25.847,-0.7715445020780001,3.0639864602318188,-2.238721733949108,2.0245638644420847,1.798,0.299,2.277,0.658
10,pctrl,success,255,30.599999999999998,22.717,2.994099526712457,-1.8239741609223679,-0.38199380999559995,-1.6667906442910507,3.38,0.286,7.237,0.426
11,pctrl,timeout,300,36.0,-10.272,2.208475653597139,2.8476682953278694,-1.2773114785339503,2.394092967356829,3.515,2.57,4.49,0.0
12,pctrl,success,135,16.2,35.769,2.4579641228574074,0.9060589134238768,-1.968233632202673,2.738596382364956,4.791,0.287,7.911,0.568
13,pctrl,collision,55,6.6,-8.49,2.4078003718993344,-0.20652661238978487,-1.667269038836193,-2.95643336517607,4.916,2.064,3.493,0.0
14,pctrl,success,94,11.28,21.819,-3.0057581159416857,-2.4134905458879405,-3.0387400268687337,-0.8180142555826948,1.596,0.292,3.511,0.369
15,pctrl,timeout,300,36.0,-1.983,0.15193669062707382,2.385978934814556,1.0096686722464927,-0.4593904231073198,2.972,0.369,7.527,0.0
16,pctrl,collision,26,3.12,-15.773,1.697583252982545,2.618747609539521,-0.9253518270495227,0.12223031357433678,3.621,2.516,1.366,0.0
17,pctrl,timeout,300,36.0,-7.571,1.6190560230256255,1.9873717140303695,2.7738841107675425,-3.1668552587812346,5.282,3.796,4.844,0.0
18,pctrl,collision,64,7.68,-11.586,1.8753514118274186,0.0832229300621341,-3.1086643860184924,0.8221564663442607,5.038,2.716,3.513,0.0
19,pctrl,success,165,19.8,34.558,-0.985206789680138,2.8679939930292146,-1.750889710738278,-1.929464652846894,4.858,0.297,7.69,0.593
