episode,policy,outcome,steps,time_s,ret,start_x,start_y,goal_x,goal_y,start_dist,final_dist,path_length,path_efficiency
0,ppo:ppo_best.zip,collision,19,2.28,-9.158,1.764388417569239,-1.7586739840602121,0.8006109862698683,2.5421683262052834,4.408,2.049,2.417,0.0
1,ppo:ppo_best.zip,success,55,6.6,41.36,2.055861877649704,1.9012443440130964,2.390742050536076,-3.166302050780322,5.079,0.257,7.078,0.675
2,ppo:ppo_best.zip,timeout,300,36.0,-3.005,3.1712018139801135,1.8730362829680196,0.029108857330901294,0.3423830532767518,3.495,1.096,23.464,0.0
3,ppo:ppo_best.zip,success,63,7.56,45.141,-2.174642983309795,0.7202534673473968,3.129344945164063,-1.822024331292167,5.882,0.224,6.971,0.801
4,ppo:ppo_best.zip,success,75,9.0,33.836,-0.2162814379181497,2.669873748434255,-2.9716462158489847,0.09528844973676964,3.771,0.254,8.561,0.405
5,ppo:ppo_best.zip,collision,21,2.52,-10.331,-1.6159044990250828,-3.1245182365279627,0.09035293823688884,-0.02001001348157283,3.542,1.399,2.843,0.0
6,ppo:ppo_best.zip,collision,17,2.04,-15.781,2.1123054707311715,-2.2114490812067853,-0.8349676121458773,-3.176100850866714,3.101,2.087,1.794,0.0
7,ppo:ppo_best.zip,collision,63,7.56,-21.174,1.5473340631158852,-2.614428127596508,2.4341257854773035,0.06266118315790825,2.82,2.425,4.254,0.0
8,ppo:ppo_best.zip,success,75,9.0,24.847,-0.8879100223093914,0.6283780301261634,0.0497423123222398,2.376572010834436,1.984,0.264,8.632,0.195
9,ppo:ppo_best.zip,success,204,24.48,17.364,-0.7715445020780001,3.0639864602318188,-2.238721733949108,2.0245638644420847,1.798,0.285,24.63,0.061
10,ppo:ppo_best.zip,success,61,7.319999999999999,32.894,2.994099526712457,-1.8239741609223679,-0.38199380999559995,-1.6667906442910507,3.38,0.191,8.196,0.376
11,ppo:ppo_best.zip,collision,73,8.76,-9.077,2.208475653597139,2.8476682953278694,-1.2773114785339503,2.394092967356829,3.515,0.601,9.333,0.0
12,ppo:ppo_best.zip,success,170,20.4,34.042,2.4579641228574074,0.9060589134238768,-1.968233632202673,2.738596382364956,4.791,0.282,16.56,0.271
13,ppo:ppo_best.zip,success,93,11.16,39.096,2.4078003718993344,-0.20652661238978487,-1.667269038836193,-2.95643336517607,4.916,0.167,11.213,0.412
14,ppo:ppo_best.zip,collision,22,2.6399999999999997,-20.064,-3.0057581159416857,-2.4134905458879405,-3.0387400268687337,-0.8180142555826948,1.596,1.389,2.622,0.0
15,ppo:ppo_best.zip,success,80,9.6,29.654,0.15193669062707382,2.385978934814556,1.0096686722464927,-0.4593904231073198,3.013,0.282,8.477,0.32
16,ppo:ppo_best.zip,success,49,5.88,34.63,1.697583252982545,2.618747609539521,-0.9253518270495227,0.12223031357433678,3.621,0.205,5.095,0.652
17,ppo:ppo_best.zip,success,66,7.92,41.675,1.6190560230256255,1.9873717140303695,2.7738841107675425,-3.1668552587812346,5.282,0.287,8.477,0.588
18,ppo:ppo_best.zip,success,53,6.359999999999999,41.462,1.8753514118274186,0.0832229300621341,-3.1086643860184924,0.8221564663442607,5.038,0.216,6.244,0.759
19,ppo:ppo_best.zip,success,193,23.16,33.398,-0.985206789680138,2.8679939930292146,-1.750889710738278,-1.929464652846894,4.858,0.249,24.699,0.185
