episode,policy,outcome,steps,time_s,ret,start_x,start_y,goal_x,goal_y,start_dist,final_dist,path_length,path_efficiency
0,ppo:ppo_best.zip,success,39,4.68,25.067,0.8006109862698683,2.5421683262052834,2.5,2.5,1.7,0.297,4.249,0.329
1,ppo:ppo_best.zip,success,132,15.84,40.54,2.390742050536076,-3.166302050780322,2.5,2.5,5.667,0.239,16.884,0.318
2,ppo:ppo_best.zip,success,102,12.24,27.383,1.9012443440130964,-0.20521630180018713,2.5,2.5,2.771,0.274,11.476,0.215
3,ppo:ppo_best.zip,success,215,25.8,26.659,-0.351511642351062,0.029108857330901294,2.5,2.5,3.773,0.291,24.08,0.144
4,ppo:ppo_best.zip,success,21,2.52,27.174,0.7819470684234409,3.129344945164063,2.5,2.5,1.83,0.185,2.754,0.555
5,ppo:ppo_best.zip,collision,10,1.2,-14.19,-2.174642983309795,0.7202534673473968,2.5,2.5,5.002,3.74,1.267,0.0
6,ppo:ppo_best.zip,success,96,11.52,43.856,-2.9716462158489847,0.09528844973676964,2.5,2.5,5.977,0.245,11.455,0.496
7,ppo:ppo_best.zip,success,25,3.0,25.736,2.669873748434255,0.8270480287424666,2.5,2.5,1.682,0.284,3.053,0.453
8,ppo:ppo_best.zip,success,52,6.24,40.052,-0.02001001348157283,-1.6159044990250828,2.5,2.5,4.826,0.296,6.835,0.662
9,ppo:ppo_best.zip,success,38,4.56,39.921,-1.968626278494012,1.2290055736437706,2.5,2.5,4.646,0.282,5.037,0.863
