episode,policy,outcome,steps,time_s,ret,start_x,start_y,goal_x,goal_y,start_dist,final_dist,path_length,path_efficiency
0,ppo:ppo_best.zip,timeout,300,36.0,-5.404,1.764388417569239,-1.7586739840602121,0.8006109862698683,2.5421683262052834,4.408,2.488,11.566,0.0
1,ppo:ppo_best.zip,success,78,9.36,40.256,2.055861877649704,1.9012443440130964,2.390742050536076,-3.166302050780322,5.079,0.247,5.394,0.886
2,ppo:ppo_best.zip,timeout,300,36.0,-11.01,3.1712018139801135,1.8730362829680196,0.029108857330901294,0.3423830532767518,3.495,2.697,6.898,0.0
3,ppo:ppo_best.zip,collision,39,4.68,-3.156,-2.174642983309795,0.7202534673473968,3.129344945164063,-1.822024331292167,5.882,2.123,4.072,0.0
4,ppo:ppo_best.zip,success,53,6.359999999999999,34.742,-0.2162814379181497,2.669873748434255,-2.9716462158489847,0.09528844973676964,3.771,0.293,4.011,0.865
5,ppo:ppo_best.zip,success,52,6.24,33.779,-1.6159044990250828,-3.1245182365279627,0.09035293823688884,-0.02001001348157283,3.542,0.267,4.401,0.737
6,ppo:ppo_best.zip,success,44,5.279999999999999,31.832,2.1123054707311715,-2.2114490812067853,-0.8349676121458773,-3.176100850866714,3.101,0.295,3.781,0.741
7,ppo:ppo_best.zip,collision,65,7.8,-20.337,1.5473340631158852,-2.614428127596508,2.4341257854773035,0.06266118315790825,2.82,2.237,2.673,0.0
8,ppo:ppo_best.zip,success,32,3.84,26.998,-0.8879100223093914,0.6283780301261634,0.0497423123222398,2.376572010834436,1.984,0.264,2.753,0.612
9,ppo:ppo_best.zip,success,19,2.28,26.867,-0.7715445020780001,3.0639864602318188,-2.238721733949108,2.0245638644420847,1.798,0.235,1.639,0.914
10,ppo:ppo_best.zip,collision,28,3.36,-12.26,2.994099526712457,-1.8239741609223679,-0.38199380999559995,-1.6667906442910507,3.38,1.552,1.957,0.0
11,ppo:ppo_best.zip,success,47,5.64,34.342,2.208475653597139,2.8476682953278694,-1.2773114785339503,2.394092967356829,3.515,0.177,4.22,0.762
12,ppo:ppo_best.zip,success,164,19.68,34.397,2.4579641228574074,0.9060589134238768,-1.968233632202673,2.738596382364956,4.791,0.271,10.129,0.443
13,ppo:ppo_best.zip,success,78,9.36,39.287,2.4078003718993344,-0.20652661238978487,-1.667269038836193,-2.95643336517607,4.916,0.279,5.99,0.771
14,ppo:ppo_best.zip,success,43,5.16,24.415,-3.0057581159416857,-2.4134905458879405,-3.0387400268687337,-0.8180142555826948,1.596,0.283,3.428,0.378
15,ppo:ppo_best.zip,success,54,6.4799999999999995,30.859,0.15193669062707382,2.385978934814556,1.0096686722464927,-0.4593904231073198,2.972,0.26,3.969,0.673
16,ppo:ppo_best.zip,success,62,7.4399999999999995,33.64,1.697583252982545,2.618747609539521,-0.9253518270495227,0.12223031357433678,3.621,0.273,4.811,0.69
17,ppo:ppo_best.zip,success,78,9.36,41.277,1.6190560230256255,1.9873717140303695,2.7738841107675425,-3.1668552587812346,5.282,0.247,6.028,0.827
18,ppo:ppo_best.zip,success,65,7.8,40.455,1.8753514118274186,0.0832229300621341,-3.1086643860184924,0.8221564663442607,5.038,0.298,5.945,0.797
19,ppo:ppo_best.zip,success,82,9.84,38.821,-0.985206789680138,2.8679939930292146,-1.750889710738278,-1.929464652846894,4.858,0.274,8.033,0.567
