episode,policy,outcome,steps,time_s,ret,start_x,start_y,goal_x,goal_y,start_dist,final_dist,path_length,path_efficiency
0,sac:sac_best.zip,success,40,4.8,38.661,1.764388417569239,-1.7586739840602121,0.8006109862698683,2.5421683262052834,4.408,0.275,4.992,0.823
1,sac:sac_best.zip,success,45,5.3999999999999995,41.8,2.055861877649704,1.9012443440130964,2.390742050536076,-3.166302050780322,5.079,0.269,6.146,0.777
2,sac:sac_best.zip,success,36,4.32,34.664,3.1712018139801135,1.8730362829680196,0.029108857330901294,0.3423830532767518,3.495,0.202,4.28,0.746
3,sac:sac_best.zip,success,59,7.08,45.184,-2.174642983309795,0.7202534673473968,3.129344945164063,-1.822024331292167,5.882,0.255,7.895,0.707
4,sac:sac_best.zip,success,27,3.2399999999999998,36.027,-0.2162814379181497,2.669873748434255,-2.9716462158489847,0.09528844973676964,3.771,0.296,3.65,0.951
5,sac:sac_best.zip,success,28,3.36,35.09,-1.6159044990250828,-3.1245182365279627,0.09035293823688884,-0.02001001348157283,3.542,0.245,3.503,0.926
6,sac:sac_best.zip,collision,15,1.7999999999999998,-16.176,2.1123054707311715,-2.2114490812067853,-0.8349676121458773,-3.176100850866714,3.101,2.186,1.344,0.0
7,sac:sac_best.zip,success,41,4.92,30.764,1.5473340631158852,-2.614428127596508,2.4341257854773035,0.06266118315790825,2.82,0.257,4.424,0.57
8,sac:sac_best.zip,success,52,6.24,25.953,-0.8879100223093914,0.6283780301261634,0.0497423123222398,2.376572010834436,1.984,0.273,5.307,0.317
9,sac:sac_best.zip,success,12,1.44,26.916,-0.7715445020780001,3.0639864602318188,-2.238721733949108,2.0245638644420847,1.798,0.295,1.507,0.994
10,sac:sac_best.zip,success,30,3.5999999999999996,33.953,2.994099526712457,-1.8239741609223679,-0.38199380999559995,-1.6667906442910507,3.38,0.289,3.603,0.855
11,sac:sac_best.zip,success,52,6.24,34.245,2.208475653597139,2.8476682953278694,-1.2773114785339503,2.394092967356829,3.515,0.146,6.938,0.463
12,sac:sac_best.zip,collision,12,1.44,-16.706,2.4579641228574074,0.9060589134238768,-1.968233632202673,2.738596382364956,4.791,4.012,0.885,0.0
13,sac:sac_best.zip,success,90,10.799999999999999,38.85,2.4078003718993344,-0.20652661238978487,-1.667269038836193,-2.95643336517607,4.916,0.246,9.639,0.479
14,sac:sac_best.zip,success,38,4.56,24.646,-3.0057581159416857,-2.4134905458879405,-3.0387400268687337,-0.8180142555826948,1.596,0.287,4.35,0.298
15,sac:sac_best.zip,success,34,4.08,32.142,0.15193669062707382,2.385978934814556,1.0096686722464927,-0.4593904231073198,2.972,0.203,4.021,0.664
16,sac:sac_best.zip,success,34,4.08,35.422,1.697583252982545,2.618747609539521,-0.9253518270495227,0.12223031357433678,3.621,0.197,4.209,0.789
17,sac:sac_best.zip,success,51,6.12,42.778,1.6190560230256255,1.9873717140303695,2.7738841107675425,-3.1668552587812346,5.282,0.216,6.836,0.729
18,sac:sac_best.zip,success,38,4.56,42.323,1.8753514118274186,0.0832229300621341,-3.1086643860184924,0.8221564663442607,5.038,0.194,5.456,0.869
19,sac:sac_best.zip,success,88,10.559999999999999,38.576,-0.985206789680138,2.8679939930292146,-1.750889710738278,-1.929464652846894,4.858,0.263,11.248,0.405
