episode,policy,outcome,steps,time_s,ret,start_x,start_y,goal_x,goal_y,start_dist,final_dist,path_length,path_efficiency
0,sac:sac_best.zip,success,32,3.84,25.679,0.8006109862698683,2.5421683262052834,2.5,2.5,1.7,0.244,3.883,0.361
1,sac:sac_best.zip,success,55,6.6,44.265,2.390742050536076,-3.166302050780322,2.5,2.5,5.667,0.264,6.902,0.778
2,sac:sac_best.zip,success,174,20.88,23.699,1.9012443440130964,-0.20521630180018713,2.5,2.5,2.771,0.291,16.498,0.15
3,sac:sac_best.zip,success,44,5.279999999999999,35.252,-0.351511642351062,0.029108857330901294,2.5,2.5,3.773,0.283,4.782,0.726
4,sac:sac_best.zip,success,20,2.4,26.725,0.7819470684234409,3.129344945164063,2.5,2.5,1.83,0.285,2.288,0.669
5,sac:sac_best.zip,success,43,5.16,41.483,-2.174642983309795,0.7202534673473968,2.5,2.5,5.002,0.275,5.442,0.864
6,sac:sac_best.zip,success,62,7.4399999999999995,45.411,-2.9716462158489847,0.09528844973676964,2.5,2.5,5.977,0.275,7.012,0.81
7,sac:sac_best.zip,success,17,2.04,26.232,2.669873748434255,0.8270480287424666,2.5,2.5,1.682,0.265,2.192,0.63
8,sac:sac_best.zip,collision,8,0.96,-17.895,-0.02001001348157283,-1.6159044990250828,2.5,2.5,4.826,4.325,0.606,0.0
9,sac:sac_best.zip,success,77,9.24,38.032,-1.968626278494012,1.2290055736437706,2.5,2.5,4.646,0.269,8.879,0.489
