#{"t_start": 1789506487.5222056, "env_id": "None"}
r,l,t,is_success,collision,timeout,path_length,start_dist
-26.938369,27,2.471403,False,True,False,1.180188031820515,7.571680769127
-20.729861,18,2.616177,False,True,False,0.7346605320018827,1.6035661907503707
-34.972788,195,4.19697,False,True,False,12.480262666551825,3.211607709583459
-27.476252,300,9.536411,False,False,True,9.33288381858808,4.290666867680271
-32.513484,300,12.031853,False,False,True,12.54152136679011,4.2162559915070545
-34.10298,138,13.092229,False,True,False,5.347105338497036,4.396412349924418
-30.059802,300,17.436495,False,False,True,12.186049646200187,6.18312760866689
18.065098,134,18.450868,True,False,False,3.825847286940168,1.946323159765825
-30.830447,215,22.082863,False,True,False,9.704938656999516,3.2416138090676165
-23.125026,79,22.698612,False,True,False,4.030564414100842,2.0356203440914653
-14.94829,300,25.039813,False,False,True,17.461090564176875,2.7128889437127572
-22.593736,300,29.4661,False,False,True,9.109951701088551,2.5243295877307195
-25.696068,300,42.92321,False,False,True,7.329536701262921,3.1291790866780285
-18.528285,300,45.258077,False,False,True,16.22442233766664,3.200311461855887
-23.352148,219,48.981247,False,True,False,8.930304532076034,3.906511433862746
-20.718586,92,49.709677,False,True,False,3.0781575063796227,3.895587883740868
-15.42605,300,52.101382,False,False,True,15.899813913604097,5.2552904590760425
-29.253851,220,55.789032,False,True,False,14.180107070040089,3.499859965541913
-10.291352,300,58.218954,False,False,True,13.458248824085942,4.068475996070863
-26.101726,268,62.370772,False,True,False,12.495759514075546,5.067082756493375
-24.010354,93,63.126673,False,True,False,3.9838961281955925,2.088257859510068
-14.70033,147,64.266316,False,True,False,9.062768149013568,5.0191733686027655
-20.632684,35,64.539037,False,True,False,1.6979990104041671,2.681926469026145
2.570149,300,69.03538,False,False,True,16.168894814821467,7.050116213526112
28.058298,91,69.762407,True,False,False,3.80087600833114,3.0230254051301144
13.703028,199,79.698059,True,False,False,6.650065966979392,2.682858955928518
-6.474006,300,82.054691,False,False,True,13.708959107481157,4.661568338923028
20.912524,93,82.779767,True,False,False,3.0058859153054,1.8150725122966391
22.336505,135,85.791959,True,False,False,4.246228061934904,2.60754601068393
-1.909307,300,88.151366,False,False,True,19.262661098584275,5.23908679300197
22.12384,106,89.00142,True,False,False,6.482944377377882,2.2070214212812735
-21.194752,168,92.248679,False,True,False,9.843506782779778,3.0892862621101522
22.611177,147,93.42324,True,False,False,8.32478607258716,2.8832759560171684
-14.739092,42,93.760335,False,True,False,2.7117409944876902,3.598809325960227
25.654304,194,95.347586,True,False,False,12.584942806959747,4.200062084144419
30.719525,84,98.05239,True,False,False,6.497630165614735,3.4776362062975577
26.133587,46,98.419583,True,False,False,2.2651095458485813,1.9563241901281834
-23.865208,90,99.141603,False,True,False,4.513617333594764,3.308696685600868
29.146138,246,101.068097,True,False,False,9.699243689748299,5.590734905140023
34.750708,63,103.470531,True,False,False,4.433451343311151,3.9632905195619905
27.499085,49,103.864552,True,False,False,2.3814948645263736,2.3301672056705596
26.341371,49,104.254263,True,False,False,2.418887440728863,2.1152429856522277
21.07598,251,109.94078,True,False,False,12.940704717865035,4.798999986791777
